Strain 1	Strain 2	Initial divergence raw	Initial divergence	Alignment size raw	Alignment size	Genome 1 size	Genome 2 size	Observed SSD	SSD 95 CI low	SSD 95 CI high	mu_div	mnb_div	sim_fr	nb_size	hmm_fr	hmm_mu	hmm_mnb	totalR	div	type
GCA_027684105	GUT_GENOME001569	0.0130810761925601	0.0100452890165701	5219066	5098808	6177596	6376662	52.3466904550804	44.4152222455646	60.2677210346504	0.00263217887432432	0.0181703347261991	67.3047162174413	2	54.3161848547857	0.00269161230782144	0.0218048023013736	67.3047162174413	0.00263217887432432	NC
GCA_027684105	GCA_027680565	0.0182327384508241	0.0128880347539607	4836081	4644075	6177596	6273636	29.2270053107488	25.9205851002509	32.8914786767211	0.0056979678248843	0.0281885533326652	55.6354664647776	2	48.5962172838485	0.00498505300850969	0.0322412176351003	55.6354664647776	0.0056979678248843	NC
GCA_027684105	GCA_027693325	0.0126347774230945	0.00991127201094426	5208402	5100758	6177596	6446767	54.3229921429125	46.3204098858168	62.2074297345657	0.00235110090535306	0.0172607908808545	68.9789457116838	2	53.5122419587134	0.002649854389987	0.0213032833051526	68.9789457116838	0.00235110090535306	NC
GUT_GENOME001569	GCA_027680565	0.0177461266536655	0.0123856101974008	4858525	4671308	6376662	6273636	34.6530055068075	30.8893677879747	39.0669710378497	0.00514801141851202	0.027796996431242	54.8032406541788	2	46.3562252964427	0.00483974211374636	0.0326761130777856	54.8032406541788	0.00514801141851202	NC
GUT_GENOME001569	GCA_027693325	0.00954862725543376	0.00686633445658831	5699458	5559735	6376662	6446767	440.883087716028	328.14091615611	634.896873523716	0.000581227464305434	0.015837708188641	58.5810963824708	2	55.0771687534548	0.000490829899021406	0.0169280016517697	58.5810963824708	0.000581227464305434	NC
GUT_GENOME000947	GUT_GENOME239749	0.0129546791425562	0.00697542599900522	5043969	4752828	6026957	6089810	596.858408453107	499.374062874251	745.840005980099	0.000920141984284485	0.030516095341539	40.6084447837617	2	39.3303655525922	0.000881160936070157	0.0315812574487373	40.6084447837617	0.000920141984284485	NC
GUT_GENOME000947	GMC_3401SE_0218_027_E1_final	0.0217256405726316	0.0141626455207329	4596044	4335207	6026957	5776522	76.982220950597	69.4242649324371	88.7794090958558	0.00316792893928705	0.0369979650113515	54.6912004036933	2	50.1479837217906	0.0031824948161083	0.0401631064776416	54.6912004036933	0.00316792893928705	NC
GUT_GENOME000947	GUT_GENOME140069	0.00863207752926424	0.00293753253546483	5249837	4777479	6026957	5883199	1468.32870046603	1113.28858269371	1884.34967669373	0.000591961727068442	0.0274868187837458	29.8218727567936	2	33.4146202061384	0.000353218884120132	0.0251193696240435	29.8218727567936	0.000591961727068442	NC
GUT_GENOME000947	GUT_GENOME001402	0.0280087569443025	0.0178067873492912	4158985	3863246	6026957	5652331	97.8208644534652	85.0272098705125	114.254149973712	0.00236711704020181	0.0432074069453051	62.9313283799767	2	61.2486622334989	0.00217091789238517	0.0443551420217605	62.9313283799767	0.00236711704020181	NC
GUT_GENOME000947	GUT_GENOME143484	0.00168182683899123	0.000132055905917415	5450026	5035746	6026957	5774847	2560.85731160146	1281.93366422072	4703.88552819816	0.000101382573412011	0.0276789134880776	5.71795096641384	2	5.84867225780404	8.67573678465582e-05	0.0273373889410527	5.71795096641384	0.000101382573412011	NC
GUT_GENOME000947	GUT_GENOME001390	0.015089508881965	0.00835742562961081	4933030	4645330	6026957	5784588	333.246107760975	273.122179528724	414.265889333858	0.0013962674166178	0.0344132933986514	41.8927902942542	2	43.1489629164048	0.00111728097861958	0.0334957397225569	41.8927902942542	0.0013962674166178	NC
GUT_GENOME000947	GCA_027670505	0.0136982902810894	0.00746610650011263	4917475	4634812	6026957	5907797	544.655829450598	450.333904568398	658.326126502321	0.000989008319103846	0.0314756338657397	41.6271029241593	2	40.4796046007871	0.000917491072496536	0.0324829186824932	41.6271029241593	0.000989008319103846	NC
GUT_GENOME000947	GMC_5893AJ_0218_015_A6_final	0.0215043503644547	0.0141567560615008	4590420	4338282	6026957	5849934	77.0584015388986	67.3527698402334	86.8219136168282	0.00315038340953023	0.0366169252414749	54.8875155592857	2	49.9705850310491	0.00317716998388574	0.0398417297797639	54.8875155592857	0.00315038340953023	NC
GUT_GENOME000947	GCA_027663725	0.0112040273354967	0.00541415449020249	5115839	4783203	6026957	5943536	695.098436536096	575.024428718736	893.947896120227	0.000871960581593357	0.0286899534627654	37.3259713636285	2	35.8501632485484	0.000841003291478804	0.029747991201216	37.3259713636285	0.000871960581593357	NC
GUT_GENOME000947	bf_0095_0063_a1_final	0.0141993775533536	0.0076999499032279	5025009	4734836	6026957	6052076	349.363033817905	293.436454949898	416.659261905359	0.00127064003727694	0.0324857541469364	41.4837464995069	2	41.9607491889095	0.00106376995490336	0.0323636943293352	41.4837464995069	0.00127064003727694	NC
GUT_GENOME000947	GCA_027680785	0.027309703100492	0.0172626729425559	4149148	3854965	6026957	5624952	101.06136722329	87.7565934834445	123.504049318451	0.00235821788244081	0.0422995554112468	62.472836726766	2	60.7854008967745	0.00217710702649545	0.0435248451637062	62.472836726766	0.00235821788244081	NC
