Strain 1	Strain 2	Initial divergence raw	Initial divergence	Alignment size raw	Alignment size	Genome 1 size	Genome 2 size	Observed SSD	SSD 95 CI low	SSD 95 CI high	mu_div	mnb_div	sim_fr	nb_size	hmm_fr	hmm_mu	hmm_mnb
GCA_027684105	GUT_GENOME001569	0.013081076192560125	0.010045289016570147	5219066	5098808	6177596	6376662	52.34669045508041	44.41522224556461	60.267721034650364	0.002632178874324318	0.018170334726199076	67.30471621744128	2.0	54.316184854785696	0.002691612307821437	0.021804802301373594
GCA_027684105	GUT_GENOME000947	0.04901162105688379	0.03959800358678496	4158830	3906005	6177596	6026957	3.9130082905494277	3.6339298284358446	4.295384027004761	0.027076270196989917	0.055291701048148345	77.7634439578583	2.0	57.13821881238125	0.02682860589736873	0.06565439791604415
GCA_027684105	GUT_GENOME239749	0.04879229339382214	0.03886992054324407	4268338	3994374	6177596	6089810	4.194024228707063	3.521775831229964	5.785245121698518	0.027487367112575694	0.05493464224192775	77.55915102913428	2.0	54.01298214369405	0.027722846441944404	0.0667229590171611
GCA_027684105	GCA_027680565	0.018232738450824126	0.012888034753960692	4836081	4644075	6177596	6273636	29.227005310748755	25.920585100250893	32.89147867672114	0.005697967824884298	0.02818855333266524	55.63546646477761	2.0	48.59621728384849	0.0049850530085096935	0.03224121763510032
GCA_027684105	GMC_3401SE_0218_027_E1_final	0.04601610738065329	0.03702646320957459	4245383	4003596	6177596	5776522	5.391636612450108	4.519213772126901	6.8910250369408885	0.024857894531266852	0.05135972531241702	79.81832918422026	2.0	56.178067829754156	0.02484376344085773	0.06252713522184446
GCA_027684105	GUT_GENOME140069	0.048155278158326195	0.0386652122396983	4258474	3997909	6177596	5883199	5.533476564922513	3.756488670698243	14.688021588147064	0.026992066210156502	0.054009568883521326	78.32142827111846	2.0	56.80614437880941	0.026789450788469477	0.06440167149548484
GCA_027684105	GUT_GENOME001402	0.0570492337234081	0.04745456268842319	3757912	3534265	6177596	5652331	2.517130890703351	2.312890392760541	2.824705717875214	0.03490691078210626	0.06671806655638589	69.57122415080981	2.007306337348666	52.44210806494544	0.034641276059885054	0.0773618052912063
GCA_027684105	GUT_GENOME143484	0.04822553951340775	0.039066479268073176	4164308	3916785	6177596	5774847	3.8461936156041694	3.471685716467481	4.198278842053659	0.02737278173435936	0.05434599560359363	77.42915623164293	2.0	53.67247922371139	0.027667876399830923	0.06597110758429378
GCA_027684105	GUT_GENOME001390	0.047448992120956816	0.038298747640459305	4235032	3986475	6177596	5784588	4.47164250274079	3.724253194638203	7.624257292951105	0.026711839701890585	0.0532925398559568	77.91760540365937	2.0	53.395054438959875	0.025898596260069955	0.06622513489136252
GCA_027684105	GCA_027693325	0.012634777423094453	0.009911272010944256	5208402	5100758	6177596	6446767	54.32299214291249	46.32040988581678	62.20742973456573	0.00235110090535306	0.01726079088085452	68.97894571168376	2.0	53.51224195871339	0.0026498543899870046	0.021303283305152597
GCA_027684105	GCA_027670505	0.05015169093368973	0.03977496519268448	4253715	3968275	6177596	5907797	3.927859240029329	3.637011417424232	4.232163062548119	0.02742796181488192	0.0568573390630883	77.140315422212	2.0	54.60402558314522	0.027745467730236242	0.06877974811297485
GCA_027684105	GUT_GENOME001792	0.024468226982072183	0.02003058933997553	4986385	4826518	6177596	6518403	8.614558385391147	7.859355256270305	9.615629040083194	0.013685065754972374	0.029446352549670464	68.30057859161073	2.0	48.914340731528746	0.013022871390143732	0.036418163554845534
GCA_027684105	GMC_5893AJ_0218_015_A6_final	0.04664042759892197	0.03752933116167713	4229571	3984670	6177596	5849934	4.660949867936826	4.1594128459540585	5.1266654745169244	0.02479315279610365	0.052578824833724475	78.66064204082926	2.0	56.041526255424316	0.024865373752586822	0.06371411024748157
